key,name,population,households,postcodes,activePostcodes,nonGeographicPostcodes,latitude,longitude
AB,"Aberdeen",499692,218798,38586,16970,1,57.3008,-2.30777
AL,"St Albans",249911,99209,11258,7754,0,51.7755,-0.283873
B,"Birmingham",1904293,750842,60654,41656,0,52.4652,-1.88878
BA,"Bath",434539,183530,19681,15044,0,51.2295,-2.41737
BB,"Blackburn",488564,202015,18653,13154,0,53.7872,-2.33384
BD,"Bradford",578374,223952,23157,17015,12,53.8287,-1.8286
BH,"Bournemouth",552110,242907,21978,15179,0,50.7504,-1.89081
BL,"Bolton",379929,159979,13815,10326,0,53.5868,-2.40788
BN,"Brighton",802838,356367,34556,22077,1,50.8289,-0.119901
BR,"Bromley",299157,124954,10495,6886,0,51.3944,0.0424738
BS,"Bristol",940076,398197,44868,26693,0,51.4488,-2.62258
BT,"Northern Ireland",1787720,693967,61253,49003,890,54.6037,-6.38079
CA,"Carlisle",318114,140587,16056,12564,0,54.7317,-3.10871
CB,"Cambridge",421151,167640,18894,10395,0,52.2065,0.189053
CF,"Cardiff",1005305,419896,42024,23295,0,51.5344,-3.29356
CH,"Chester",659880,285880,23996,18762,0,53.2905,-3.02017
CM,"Chelmsford",653626,270044,26809,17699,0,51.758,0.404059
CO,"Colchester",411411,176939,17717,13072,0,51.903,0.924383
CR,"Croydon",405236,158695,14463,8025,0,51.356,-0.103203
CT,"Canterbury",482627,206290,19507,14793,0,51.2555,1.23145
CV,"Coventry",821033,341504,27722,20119,0,52.3676,-1.50126
CW,"Crewe",309487,130803,13751,9441,0,53.1552,-2.45006
DA,"Dartford",430139,173329,12653,9009,0,51.4422,0.220417
DD,"Dundee",280568,128312,11205,8941,0,56.5368,-2.86452
DE,"Derby",730125,306586,29679,17060,0,52.9334,-1.49109
DG,"Dumfries and Galloway",151139,67885,7686,6822,0,55.0226,-3.88083
DH,"Durham",309030,132814,11346,8933,0,54.825,-1.61401
DL,"Darlington",360734,156814,16553,13263,0,54.5329,-1.65973
DN,"Doncaster",756058,320303,27528,21590,0,53.5411,-0.720182
DT,"Dorchester",212796,93053,9677,7795,0,50.7546,-2.48317
DY,"Dudley",410847,171692,14345,10983,0,52.4536,-2.17687
E,"East London",989043,370613,27747,16416,0,51.5435,-0.0157749
EC,"Central London",33956,17102,12471,3884,0,51.5187,-0.0967283
EH,"Edinburgh",868113,389353,31929,24307,2,55.9266,-3.22784
EN,"Enfield",344780,137907,12904,8535,61,51.6816,-0.0863738
EX,"Exeter",547401,235895,28230,22177,0,50.8268,-3.65595
FK,"Falkirk and Stirling",276371,119790,9533,7703,0,56.0772,-3.8594
FY,"Blackpool",276593,125986,9949,7251,0,53.825,-3.02281
G,"Glasgow",1183614,540601,46338,31625,0,55.8688,-4.26838
GL,"Gloucester",605458,257602,28221,20902,0,51.8368,-2.1761
GU,"Guildford",726120,288537,35114,22101,0,51.2316,-0.717372
HA,"Harrow",480678,169132,17277,10292,0,51.5853,-0.336117
HD,"Huddersfield",262843,111694,10638,7109,0,53.6302,-1.78276
HG,"Harrogate",138214,59455,6251,4398,0,54.0372,-1.54621
HP,"Hemel Hempstead",488592,195951,21466,13903,0,51.7242,-0.691011
HR,"Hereford",176308,75400,7822,6345,0,52.0657,-2.71953
HS,"Outer Hebrides",27663,12565,1082,963,0,57.978,-6.69498
HU,"Hull",443219,191836,15092,10916,0,53.7681,-0.35329
HX,"Halifax",160137,68980,7331,5665,0,53.7203,-1.89275
IG,"Ilford",335693,119754,9875,5945,0,51.584,0.0717099
IP,"Ipswich",595883,252895,26553,20918,0,52.1945,1.0843
IV,"Inverness",228056,98990,10614,7293,1,57.5868,-4.11765
KA,"Kilmarnock",370877,166467,14035,11585,0,55.5638,-4.60637
KT,"Kingston upon Thames",529633,214274,22128,14278,0,51.36,-0.343048
KW,"Kirkwall",53132,24290,2091,1826,0,58.6548,-3.2821
KY,"Kirkcaldy",363956,160089,13024,10046,0,56.1624,-3.2125
L,"Liverpool",856675,370680,42922,20512,0,53.4157,-2.96328
LA,"Lancaster",328926,143213,14581,11813,0,54.1712,-2.90475
LD,"Llandrindod Wells",50225,22291,2633,2212,0,52.1291,-3.34103
LE,"Leicester",985352,391460,34105,22230,0,52.6443,-1.14847
LL,"Llandudno",537252,232655,24172,20130,0,53.1332,-3.71616
LN,"Lincoln",293141,126372,11796,9111,0,53.2564,-0.356525
LS,"Leeds",774677,330676,31457,21562,0,53.8227,-1.55343
LU,"Luton",336095,129149,10215,6209,0,51.8965,-0.509438
M,"Manchester",1167414,492884,58133,31689,0,53.4787,-2.27176
ME,"Rochester",606891,245786,21739,16241,0,51.3339,0.584439
MK,"Milton Keynes",508035,202926,22372,15287,0,52.0624,-0.666033
ML,"Motherwell",382997,168005,11603,9599,0,55.7765,-3.94396
N,"North London",847197,344938,28928,17619,62,51.5853,-0.114052
NE,"Newcastle upon Tyne",1162976,510229,44626,33134,0,55.036,-1.64216
NG,"Nottingham",1163617,493228,36823,28754,0,53.0054,-1.07247
NN,"Northampton",653055,272356,24546,16309,0,52.2889,-0.841688
NP,"Newport",488569,206539,27829,13680,0,51.673,-3.01618
NR,"Norwich",722618,315784,27927,23337,0,52.6461,1.34063
NW,"North West London",553732,222208,25202,14251,0,51.5548,-0.196809
OL,"Oldham",462590,188194,17541,13034,0,53.5817,-2.12593
OX,"Oxford",613492,242551,34322,19534,0,51.7959,-1.29043
PA,"Paisley",321350,148778,12822,9307,0,56.0709,-4.91274
PE,"Peterborough",890470,373108,38515,26330,0,52.6268,-0.0450702
PH,"Perth",165118,73021,7306,6049,0,56.5625,-3.73425
PL,"Plymouth",543016,232152,22157,17433,0,50.4277,-4.32558
PO,"Portsmouth",822540,352453,32457,24016,0,50.8019,-1.03521
PR,"Preston",520366,219388,19663,12966,0,53.7222,-2.75205
RG,"Reading",778419,314408,45174,23050,0,51.4045,-1.02842
RH,"Redhill",531923,217143,23797,15978,0,51.1103,-0.208582
RM,"Romford",517305,205322,14966,9832,0,51.547,0.217255
S,"Sheffield",1358186,578058,48614,33399,0,53.3941,-1.41232
SA,"Swansea",730075,315791,29076,23166,1,51.7606,-4.2066
SE,"South East London",988126,412444,33621,20613,65,51.4669,-0.0358859
SG,"Stevenage",402479,167182,16622,11793,0,51.9467,-0.159475
SK,"Stockport",603540,260549,24732,16412,0,53.3715,-2.09808
SL,"Slough",373407,144554,16505,10734,0,51.5153,-0.642205
SM,"Sutton",217171,87907,6558,4362,0,51.3628,-0.184602
SN,"Swindon",458798,191252,21093,14381,0,51.5057,-1.89426
SO,"Southampton",665472,276330,39688,18278,0,50.9295,-1.39215
SP,"Salisbury",232282,94658,11187,8535,0,51.1084,-1.77941
SR,"Sunderland",250843,109612,8561,6556,8,54.8765,-1.38941
SS,"Southend-on-Sea",518631,216682,17073,11833,0,51.5622,0.600036
ST,"Stoke-on-Trent",644416,275646,22382,17564,0,52.9779,-2.14628
SW,"South West London",877183,382790,36023,20376,0,51.4641,-0.167486
SY,"Shrewsbury",341952,144660,17040,14333,0,52.6641,-3.04807
TA,"Taunton",322408,139414,14517,11626,0,51.0558,-3.06789
TD,"Galashiels",112644,52111,5192,4466,1,55.6142,-2.52542
TF,"Telford",212536,85637,9100,6939,0,52.7132,-2.46185
TN,"Tonbridge",681747,286228,32144,22563,0,51.0852,0.441366
TQ,"Torquay",281112,125365,13027,9952,0,50.4589,-3.61608
TR,"Truro",294061,127803,15083,11983,0,50.2105,-5.24433
TS,"Cleveland",602320,256341,22693,17390,0,54.5849,-1.2237
TW,"Twickenham",491918,193508,19866,11154,0,51.4486,-0.390129
UB,"Southall",371413,126879,11386,7118,0,51.5278,-0.417324
W,"West London",531690,236493,39734,19039,0,51.5115,-0.192431
WA,"Warrington",616482,261804,25338,18102,0,53.3905,-2.59128
WC,"Central London",35745,15757,7400,2693,0,51.5176,-0.122617
WD,"Watford",256476,103336,15768,7315,0,51.6587,-0.393762
WF,"Wakefield",512784,214107,18032,14312,0,53.6855,-1.49699
WN,"Wigan",309156,131514,9046,7101,0,53.5344,-2.63768
WR,"Worcester",287838,122730,12305,8629,0,52.1631,-2.16862
WS,"Walsall",449728,181669,14713,10048,0,52.6492,-1.95745
WV,"Wolverhampton",396187,162933,14145,10463,66,52.5808,-2.16223
YO,"York",562761,242140,33881,18415,0,54.0449,-0.887474
ZE,"Lerwick",23086,9915,746,650,0,60.2213,-1.19845
